"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"11","GTD","John Potter","5","53.480","4:36.926","Green","Track","0.475","0.846","9.778","10.723","14.177","5.399","9.283","2.799","145.813"
"48","GTD","Corey Lewis","5","52.897","4:37.273","Green","Track","0.472","0.842","9.693","10.457","13.918","5.495","9.254","2.766","146.740"
"12","GTD","Frank Montecalvo","5","53.462","4:38.411","Green","Track","0.472","0.842","9.819","10.722","14.096","5.457","9.276","2.778","146.740"
"912","GTLM","Laurens Vanthoor","6","51.167","5:09.995","Green","Track","0.459","0.830","9.630","10.112","13.268","5.196","8.968","2.704","150.896"
"911","GTLM","Nick Tandy","6","51.177","5:10.523","Green","Track","0.458","0.830","9.549","10.073","13.474","5.211","8.889","2.693","151.226"
"25","GTLM","Connor De Phillippi","6","51.269","5:11.225","Green","Track","0.453","0.807","9.759","10.056","13.197","5.341","8.969","2.687","152.895"
"66","GTLM","Dirk Mueller","6","51.102","5:12.122","Green","Track","0.460","0.821","9.497","10.071","13.479","5.261","8.822","2.691","150.568"
"3","GTLM","Antonio Garcia","6","51.346","5:12.938","Green","Track","0.452","0.809","9.664","10.099","13.480","5.247","8.921","2.674","153.233"
"4","GTLM","Oliver Gavin","6","51.232","5:13.256","Green","Track","0.450","0.808","9.631","10.161","13.447","5.197","8.878","2.660","153.914"
"67","GTLM","Ryan Briscoe","6","51.241","5:13.965","Green","Track","0.460","0.823","9.438","10.137","13.484","5.241","8.944","2.714","150.568"
"24","GTLM","John Edwards","6","51.317","5:14.649","Green","Track","0.457","0.840","9.688","10.084","13.283","5.248","9.018","2.699","151.557"
"86","GTD","Trent Hindman","6","52.671","5:21.482","Green","Track","0.473","0.845","9.780","10.545","13.776","5.356","9.128","2.768","146.430"
"33","GTD","Ben Keating","6","53.173","5:23.186","Green","Track","0.465","0.830","9.922","10.729","13.837","5.486","9.155","2.749","148.949"
"96","GTD","Robby Foley","6","52.901","5:23.789","Green","Track","0.470","0.839","9.892","10.486","13.792","5.408","9.259","2.755","147.365"
"9","GTD","Zacharie Robichon","6","53.002","5:24.486","Green","Track","0.472","0.844","9.833","10.472","13.860","5.396","9.343","2.782","146.740"
"14","GTD","Richard Heistand","6","53.027","5:25.978","Green","Track","0.471","0.841","9.813","10.484","13.864","5.430","9.328","2.796","147.052"
"73","GTD","Marco Seefried","6","53.155","5:26.406","Green","Track","0.468","0.835","9.798","10.602","13.910","5.432","9.319","2.791","147.994"
"63","GTD","Cooper MacNeil","6","52.947","5:26.870","Green","Track","0.470","0.839","9.837","10.428","13.875","5.461","9.266","2.771","147.365"
"91","GTD","Anthony Imperato","6","52.909","5:28.063","Green","Track","0.477","0.853","9.692","10.444","13.850","5.395","9.399","2.799","145.202"
"76","GTD","Matt Plumb","6","53.243","5:28.939","Green","Track","0.473","0.845","9.829","10.507","14.076","5.449","9.282","2.782","146.430"
"57","GTD","Christina Nielsen","6","53.251","5:29.642","Green","Track","0.475","0.847","9.838","10.621","13.842","5.463","9.351","2.814","145.813"
"11","GTD","John Potter","6","53.112","5:30.038","Green","Track","0.474","0.846","9.766","10.583","13.956","5.396","9.296","2.795","146.121"
"48","GTD","Corey Lewis","6","53.141","5:30.414","Green","Track","0.468","0.834","9.842","10.504","13.968","5.456","9.284","2.785","147.994"
"12","GTD","Frank Montecalvo","6","53.201","5:31.612","Green","Track","0.470","0.839","9.806","10.627","14.036","5.388","9.253","2.782","147.365"
"912","GTLM","Laurens Vanthoor","7","51.042","6:01.037","Green","Track","0.459","0.829","9.569","10.012","13.280","5.257","8.936","2.700","150.896"
"911","GTLM","Nick Tandy","7","50.867","6:01.390","Green","Track","0.456","0.821","9.474","10.022","13.309","5.201","8.888","2.696","151.889"
"25","GTLM","Connor De Phillippi","7","51.041","6:02.266","Green","Track","0.454","0.808","9.697","10.174","13.177","5.225","8.838","2.668","152.558"
"66","GTLM","Dirk Mueller","7","50.937","6:03.059","Green","Track","0.458","0.826","9.414","10.094","13.468","5.197","8.787","2.693","151.226"
"3","GTLM","Antonio Garcia","7","51.090","6:04.028","Green","Track","0.453","0.807","9.648","10.008","13.352","5.234","8.906","2.682","152.895"
"4","GTLM","Oliver Gavin","7","51.309","6:04.565","Green","Track","0.449","0.826","9.725","10.221","13.429","5.185","8.815","2.659","154.257"
"67","GTLM","Ryan Briscoe","7","51.333","6:05.298","Green","Track","0.460","0.822","9.449","10.147","13.520","5.246","8.979","2.710","150.568"
"24","GTLM","John Edwards","7","51.356","6:06.005","Green","Track","0.456","0.840","9.694","10.099","13.291","5.271","9.006","2.699","151.889"
"86","GTD","Trent Hindman","7","52.581","6:14.063","Green","Track","0.471","0.842","9.677","10.439","13.919","5.352","9.109","2.772","147.052"
"33","GTD","Ben Keating","7","52.742","6:15.928","Green","Track","0.464","0.828","9.910","10.516","13.701","5.411","9.165","2.747","149.270"
"96","GTD","Robby Foley","7","53.008","6:16.797","Green","Track","0.466","0.835","10.013","10.512","13.750","5.440","9.234","2.758","148.630"
"9","GTD","Zacharie Robichon","7","52.995","6:17.481","Green","Track","0.472","0.840","9.886","10.396","13.872","5.434","9.317","2.778","146.740"
"14","GTD","Richard Heistand","7","53.020","6:18.998","Green","Track","0.472","0.841","9.874","10.506","13.903","5.415","9.226","2.783","146.740"
"73","GTD","Marco Seefried","7","52.961","6:19.367","Green","Track","0.472","0.843","9.773","10.621","13.827","5.466","9.198","2.761","146.740"
"63","GTD","Cooper MacNeil","7","53.259","6:20.129","Green","Track","0.469","0.838","9.866","10.558","13.927","5.502","9.320","2.779","147.679"
"91","GTD","Anthony Imperato","7","53.005","6:21.068","Green","Track","0.475","0.846","9.747","10.509","13.857","5.396","9.379","2.796","145.813"
"76","GTD","Matt Plumb","7","53.147","6:22.086","Green","Track","0.472","0.840","9.810","10.478","14.026","5.449","9.277","2.795","146.740"
"57","GTD","Christina Nielsen","7","53.637","6:23.279","Green","Track","0.475","0.846","9.808","10.793","13.947","5.458","9.408","2.902","145.813"
"11","GTD","John Potter","7","53.475","6:23.513","Green","Track","0.472","0.843","9.776","10.772","14.046","5.431","9.335","2.800","146.740"
"12","GTD","Frank Montecalvo","7","53.489","6:25.101","Green","Track","0.470","0.840","10.045","10.658","13.959","5.433","9.298","2.786","147.365"
"912","GTLM","Laurens Vanthoor","8","51.168","6:52.205","Green","Track","0.458","0.832","9.605","10.165","13.272","5.222","8.917","2.697","151.226"
"911","GTLM","Nick Tandy","8","51.176","6:52.566","Green","Track","0.457","0.816","9.539","10.220","13.298","5.266","8.897","2.683","151.557"
"25","GTLM","Connor De Phillippi","8","51.282","6:53.548","Green","Track","0.451","0.804","9.619","10.095","13.389","5.271","8.960","2.693","153.573"
